Names,County ,Addition,County 2,Tory_Pop
"Camine, Leonard",Albany,Yeoman,,
"Caverly, Joseph",Ulster,Yeoman,,
"Canklin, Joseph A. ",Albany,Yeoman,,
"Claghan, John",Albany,Yeoman,,
"Conklin, Abraham",Albany,Yeoman,,
"Conklin, John A. ",Albany,Yeoman,,
"Coons, John",Montgomery,Laborer,,
"Cary, Griffin",Westchester,Yeoman,,
"DeLong, David",Dutchess,Weaver,,
"Deetsworth, Jacob",Albany,Yeoman,,
"Duncan, Richard",Albany,Gentleman,,
"Davis, Peter",Montgomery,Cordwainer,,
"Doran, Peter",Montgomery,Laborer,,
"Duysler, Andreas",Montgomery,Farmer,,
"Dochstader, John",Montgomery,Yeoman,,
"Dederick, Jacob",Montgomery,Laborer,,
"Drake, Peter",Westchester,Yeoman,,
"Dies, Matthew",Albany,Surveyor,,
"Dice, Matthew",Albany ,Yeoman,,
"Denny, Nicholas",Montgomery,Blacksmith,,
"Dockstader, John",Montgomery,Farmer,,
"Dockseller, Ivory Adam",Montgomery,Yeoman,,
"Doty, Philip",Albany,None,,
"Defoot, Abraham",Albany,Yeoman,,
"Daly, Patrick",Montgomery,Farmer,,
"Davis, Peter",Montgomery,Yeoman,,
"Derby, Benjamin",Ulster,Shoemaker,,
"Dean, Nicholas",Orange,Yeoman,,
"Davis, Henery",Montgomery,Farmer,,
"Dies, Jacob",Albany,Farmer,,
"Dodge, Stephen",Dutchess,Carpenter,,
"Dunn, John",Montgomery,Yeoman,,
"Davis, Peter",Montgomery,Yeoman,,
"Dawers, Joseph",Orange,Sadler,,
"Duncan, Richard",Albany,Gentleman,,
"Dunacan, Richard",Albany,Gentleman,,
"Dunacan, Richard",Albany ,Gentleman,,
"Dewitt, Evert",Albany,Yeoman,,
"Docksteller, Johannis",Montgomery,Yeoman,,
"Dewitt, Evert",Albany,Farmer,,
"Dennice, Jacques",Kings  ,Captain ,,
"Denny, Jacob",Montgomery,Yeoman,,
"Davenport, Gabriel",Westchester,Yeoman,,
"Devoe, Frederick",Westchester,Yeoman,,
"Dop, John",Albany,Yeoman,,
